"","fecha","fecha_export","dias_rest","provincia","Cs","CUP","ERC","Junts","PP","PSC","CeC.Podem","Vox","PDeCAT"
"1",2020-09-01,1610712269.75454,166,"Catalunya",12.28,5.69,22.22,19.56,6.06,18.03,8.63,4.57,NA
"2",2020-09-02,1610712269.79859,165,"Catalunya",12.28,5.69,22.22,19.56,6.06,18.03,8.63,4.57,NA
"3",2020-09-03,1610712269.83663,164,"Catalunya",12.28,5.69,22.22,19.56,6.06,18.03,8.63,4.57,NA
"4",2020-09-04,1610712269.87566,163,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"5",2020-09-05,1610712269.9187,162,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"6",2020-09-06,1610712269.95774,161,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"7",2020-09-07,1610712270.00077,160,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"8",2020-09-08,1610712270.03881,159,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"9",2020-09-09,1610712270.07784,158,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"10",2020-09-10,1610712270.12088,157,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.55,4.57,NA
"11",2020-09-11,1610712270.15892,156,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.47,4.57,NA
"12",2020-09-12,1610712270.20196,155,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.47,4.57,NA
"13",2020-09-13,1610712270.24099,154,"Catalunya",11.96,5.45,22.94,19.56,5.98,18.11,8.47,4.57,NA
"14",2020-09-14,1610712270.27903,153,"Catalunya",11.9,5.45,23.01,19.54,6,18.13,8.46,4.57,NA
"15",2020-09-15,1610712270.32207,152,"Catalunya",11.9,5.45,23.01,19.54,6,18.13,8.46,4.57,NA
"16",2020-09-16,1610712270.3611,151,"Catalunya",11.9,5.45,23.01,19.54,6,18.13,8.46,4.57,NA
"17",2020-09-17,1610712270.40014,150,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"18",2020-09-18,1610712270.44218,149,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"19",2020-09-19,1610712270.48121,148,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"20",2020-09-20,1610712270.52425,147,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"21",2020-09-21,1610712270.56228,146,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"22",2020-09-22,1610712270.60132,145,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"23",2020-09-23,1610712270.64636,144,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"24",2020-09-24,1610712270.6864,143,"Catalunya",11.9,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"25",2020-09-25,1610712270.72944,142,"Catalunya",11.82,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"26",2020-09-26,1610712270.76747,141,"Catalunya",11.82,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"27",2020-09-27,1610712270.80651,140,"Catalunya",11.82,5.45,23.01,19.62,6,18.13,8.46,4.57,NA
"28",2020-09-28,1610712270.84855,139,"Catalunya",11.82,5.37,23.01,19.62,6,18.13,8.46,4.57,NA
"29",2020-09-29,1610712270.88758,138,"Catalunya",11.82,5.37,23.01,19.62,6,18.13,8.46,4.57,NA
"30",2020-09-30,1610712270.93062,137,"Catalunya",11.82,5.37,23.01,19.62,6,18.13,8.46,4.57,NA
"31",2020-10-01,1610712270.96865,136,"Catalunya",11.82,5.37,23.01,19.62,6,18.13,8.46,4.57,NA
"32",2020-10-02,1610712271.00769,135,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"33",2020-10-03,1610712271.05073,134,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"34",2020-10-04,1610712271.08976,133,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"35",2020-10-05,1610712271.1278,132,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"36",2020-10-06,1610712271.17084,131,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"37",2020-10-07,1610712271.20987,130,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"38",2020-10-08,1610712271.25291,129,"Catalunya",11.98,5.29,23.01,19.78,6,17.89,8.46,4.65,NA
"39",2020-10-09,1610712271.29095,128,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"40",2020-10-10,1610712271.32998,127,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"41",2020-10-11,1610712271.37302,126,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"42",2020-10-12,1610712271.41206,125,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"43",2020-10-13,1610712271.4541,124,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"44",2020-10-14,1610712271.49313,123,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"45",2020-10-15,1610712271.53217,122,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"46",2020-10-16,1610712271.5742,121,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"47",2020-10-17,1610712271.61324,120,"Catalunya",12.14,5.21,22.85,19.78,6,17.89,8.38,4.65,NA
"48",2020-10-18,1610712271.65628,119,"Catalunya",12.09,5.21,22.92,19.77,6.02,17.91,8.36,4.65,NA
"49",2020-10-19,1610712271.69431,118,"Catalunya",12.09,5.21,22.92,19.77,6.02,17.91,8.36,4.65,NA
"50",2020-10-20,1610712271.73235,117,"Catalunya",12.09,5.21,22.92,19.77,6.02,17.91,8.36,4.65,NA
"51",2020-10-21,1610712271.77539,116,"Catalunya",12.09,5.21,22.92,19.77,6.02,17.91,8.36,4.65,NA
"52",2020-10-22,1610712271.81442,115,"Catalunya",12.09,5.21,22.92,19.77,6.02,17.83,8.36,4.65,NA
"53",2020-10-23,1610712271.85246,114,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.75,8.2,4.73,NA
"54",2020-10-24,1610712271.8955,113,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.75,8.2,4.73,NA
"55",2020-10-25,1610712271.93453,112,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.75,8.2,4.73,NA
"56",2020-10-26,1610712271.97757,111,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.75,8.2,4.73,NA
"57",2020-10-27,1610712272.01561,110,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.75,8.2,4.73,NA
"58",2020-10-28,1610712272.05464,109,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.66,8.2,4.73,NA
"59",2020-10-29,1610712272.09668,108,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.66,8.2,4.73,NA
"60",2020-10-30,1610712272.13572,107,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.66,8.2,4.73,NA
"61",2020-10-31,1610712272.17775,106,"Catalunya",12.33,5.3,22.67,19.6,6.02,17.66,8.2,4.73,NA
"62",2020-11-01,1610712272.21679,105,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"63",2020-11-02,1610712272.25482,104,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"64",2020-11-03,1610712272.29791,103,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"65",2020-11-04,1610712272.33699,102,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"66",2020-11-05,1610712272.38003,101,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"67",2020-11-06,1610712272.41806,100,"Catalunya",12.33,5.3,22.67,19.69,6.02,17.66,8.2,4.73,NA
"68",2020-11-07,1610712272.4571,99,"Catalunya",12.17,5.3,22.75,19.52,6.1,17.5,8.12,4.98,2.22
"69",2020-11-08,1610712272.49914,98,"Catalunya",12.17,5.3,22.75,19.52,6.1,17.5,8.12,4.98,2.22
