"","period","dias_rest","Comuns","Cs","CUP","ERC","Junts","PDeCAT","PP","PSC","Vox","Comuns.Enc","Cs.Enc","CUP.Enc","ERC.Enc","Junts.Enc","PP.Enc","PSC.Enc","Vox.Enc","PDeCAT.Enc"
"1",2018-01-19,1122,7.4,24.5,4,21.4,22.5,NA,4.7,13.9,NA,6.9,24.9,3.5,20.6,22.4,5.9,14.3,NA,NA
"2",2018-01-20,1121,7.4,24.5,4,21.4,22.4,NA,4.7,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-01-21,1120,7.4,24.5,4.1,21.4,22.4,NA,4.7,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2018-01-22,1119,7.4,24.5,4.1,21.5,22.3,NA,4.7,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018-01-23,1118,7.4,24.4,4.2,21.5,22.3,NA,4.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2018-01-24,1117,7.4,24.4,4.2,21.5,22.2,NA,4.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2018-01-25,1116,7.4,24.4,4.2,21.5,22.2,NA,4.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2018-01-26,1115,7.4,24.4,4.3,21.6,22.1,NA,4.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2018-01-27,1114,7.4,24.4,4.3,21.6,22.1,NA,4.8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2018-01-28,1113,7.4,24.4,4.3,21.6,22,NA,4.8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2018-01-29,1112,7.4,24.4,4.4,21.6,22,NA,4.8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2018-01-30,1111,7.4,24.4,4.4,21.7,22,NA,4.8,13.5,NA,7.4,24.7,6,22.9,19.5,4.6,12.5,NA,NA
"13",2018-01-31,1110,7.4,24.4,4.4,21.7,21.9,NA,4.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2018-02-01,1109,7.4,24.4,4.5,21.7,21.9,NA,4.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2018-02-02,1108,7.4,24.4,4.5,21.7,21.8,NA,4.8,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2018-02-03,1107,7.4,24.4,4.5,21.7,21.8,NA,4.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2018-02-04,1106,7.4,24.4,4.5,21.8,21.8,NA,4.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2018-02-05,1105,7.4,24.4,4.6,21.8,21.7,NA,4.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2018-02-06,1104,7.4,24.4,4.6,21.8,21.7,NA,4.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2018-02-07,1103,7.4,24.4,4.6,21.8,21.7,NA,4.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2018-02-08,1102,7.4,24.4,4.6,21.8,21.6,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2018-02-09,1101,7.4,24.4,4.7,21.8,21.6,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2018-02-10,1100,7.4,24.5,4.7,21.8,21.6,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2018-02-11,1099,7.4,24.5,4.7,21.9,21.6,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2018-02-12,1098,7.4,24.5,4.7,21.9,21.5,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2018-02-13,1097,7.4,24.5,4.7,21.9,21.5,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2018-02-14,1096,7.4,24.5,4.8,21.9,21.5,NA,4.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2018-02-15,1095,7.4,24.5,4.8,21.9,21.5,NA,4.8,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2018-02-16,1094,7.4,24.5,4.8,21.9,21.4,NA,4.8,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2018-02-17,1093,7.4,24.5,4.8,21.9,21.4,NA,4.7,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2018-02-18,1092,7.4,24.5,4.8,21.9,21.4,NA,4.7,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
