"","id_party","provincia","SEGUROS","PROBABLES","EN JUEGO"
"1","PSC","Barcelona",13,5,4
"2","ERC","Barcelona",12,4,3
"3","Junts","Barcelona",9,4,4
"4","Cs","Barcelona",5,4,3
"5","Comuns","Barcelona",2,4,3
"6","PP","Barcelona",0,4,3
"7","CUP","Barcelona",0,3,3
"8","Vox","Barcelona",0,3,3
"9","PDeCAT","Barcelona",0,0,2
"10","Junts","Girona",5,1,1
"11","ERC","Girona",3,1,1
"12","PSC","Girona",1,1,1
"13","Cs","Girona",0,1,1
"14","CUP","Girona",0,1,0
"15","Comuns","Girona",0,0,1
"16","PDeCAT","Girona",0,0,0
"17","PP","Girona",0,0,1
"18","Vox","Girona",0,0,1
"19","Junts","Lleida",4,1,1
"20","ERC","Lleida",3,1,1
"21","PSC","Lleida",1,1,1
"22","Cs","Lleida",0,1,0
"23","Comuns","Lleida",0,0,1
"24","CUP","Lleida",0,0,1
"25","PDeCAT","Lleida",0,0,0
"26","PP","Lleida",0,0,1
"27","Vox","Lleida",0,0,1
"28","ERC","Tarragona",3,1,1
"29","Junts","Tarragona",2,1,1
"30","PSC","Tarragona",2,1,1
"31","Cs","Tarragona",1,1,1
"32","Comuns","Tarragona",0,1,0
"33","PP","Tarragona",0,1,0
"34","Vox","Tarragona",0,1,0
"35","CUP","Tarragona",0,0,1
"36","PDeCAT","Tarragona",0,0,0
