"","id_party","SEGUROS","PROBABLES","EN JUEGO","provincia"
"1","ERC",20,8,6,"Catalunya"
"2","Junts",20,7,6,"Catalunya"
"3","PSC",18,7,7,"Catalunya"
"4","Cs",6,7,5,"Catalunya"
"5","Comuns",2,5,5,"Catalunya"
"6","PP",0,5,4,"Catalunya"
"7","CUP",0,4,5,"Catalunya"
"8","Vox",0,4,5,"Catalunya"
"9","PDeCAT",0,0,2,"Catalunya"
"10","PSC",14,4,4,"Barcelona"
"11","ERC",11,5,3,"Barcelona"
"12","Junts",9,4,3,"Barcelona"
"13","Cs",5,4,3,"Barcelona"
"14","Comuns",2,4,3,"Barcelona"
"15","PP",0,4,2,"Barcelona"
"16","CUP",0,3,3,"Barcelona"
"17","Vox",0,3,3,"Barcelona"
"18","PDeCAT",0,0,2,"Barcelona"
"19","Junts",5,1,1,"Girona"
"20","ERC",3,1,1,"Girona"
"21","PSC",1,1,1,"Girona"
"22","Cs",0,1,1,"Girona"
"23","CUP",0,1,0,"Girona"
"24","Comuns",0,0,1,"Girona"
"25","PDeCAT",0,0,0,"Girona"
"26","PP",0,0,1,"Girona"
"27","Vox",0,0,1,"Girona"
"28","Junts",4,1,1,"Lleida"
"29","ERC",3,1,1,"Lleida"
"30","PSC",1,1,1,"Lleida"
"31","Cs",0,1,0,"Lleida"
"32","Comuns",0,0,1,"Lleida"
"33","CUP",0,0,1,"Lleida"
"34","PDeCAT",0,0,0,"Lleida"
"35","PP",0,0,1,"Lleida"
"36","Vox",0,0,1,"Lleida"
"37","ERC",3,1,1,"Tarragona"
"38","Junts",2,1,1,"Tarragona"
"39","PSC",2,1,1,"Tarragona"
"40","Cs",1,1,1,"Tarragona"
"41","Comuns",0,1,0,"Tarragona"
"42","PP",0,1,0,"Tarragona"
"43","Vox",0,1,0,"Tarragona"
"44","CUP",0,0,1,"Tarragona"
"45","PDeCAT",0,0,0,"Tarragona"
